Sl. No,City,Area,Corporate Park,Location, Total Employee Strength , Real Estate Allowed ,Type of Screen,Dimensions (W*H),Display Size (Inches),Units,Network,Key Corporate Tenants
21,Bangalore,Ulsoor Road,Prestige Summit,Reception Lobby,"  6,000 ", N ,Digital Pods,3*7,55,1,4,"Elevar Venture Partners, BMC Software and Cambridge University Press & Assessment, Nexus Business Solutions, Clicktech Retail , Shardul Amarchand Mangaldas & Company and Bliss Chocolates (Smoor),"
,Bangalore,Ulsoor Road,Prestige Summit,Elevator Lobby Ground Floor,,,Digital Pods,3*7,55,1,,
,Bangalore,Ulsoor Road,Prestige Summit,Elevator lobby basement 1,,,Digital Pods,3*7,55,1,,
,Bangalore,Ulsoor Road,Prestige Summit,Elevator lobby basement 2,,,Digital Pods,3*7,55,1,,
22,Bangalore,Adugodi,Prestige Blue Chip ,Block A - Reception,"  6,000 ", N ,Digital Pods,3*7,55,1,3,"Marlabs Software, Mpowered Health Infotech, NTT DATA FA Insurance Systems, Forcepoint, Collabera Technologies, Synopsys, and QuadGen Engineering Services"
,Bangalore,Adugodi,Prestige Blue Chip ,Block B - Reception,,,Digital Pods,3*7,55,1,,
,Bangalore,Adugodi,Prestige Blue Chip ,Block C - Reception,,,Digital Pods,3*7,55,1,,
23,Bangalore,Kasturba Road,Prestige Obelisk,Reception Lobby,"  6,000 ", N ,Digital Pods,3*7,55,1,8,"JSA Advocates and Solicitors, Urban Vault, Coface India, Yes Bank, Lake Chemicals Pvt. Ltd., IndusViva HealthSciences Pvt. Ltd., Eaton Technologies Pvt. Ltd., JK Cement Ltd., Cigna TTK Health Insurance Company Ltd., and Yamazaki Mazak India Pvt. Ltd., Thermo Fisher Scientific India and Yes Bank.,Borqs Software Solutions, German Consulate General, Flicker projects Pvt. Ltd., Dr. Shetty's Aesthetic and The Cash Pharmacy"
,Bangalore,Kasturba Road,Prestige Obelisk,Elevator lobby basement 1,,,Digital Pods,3*7,55,1,,
,Bangalore,Kasturba Road,Prestige Obelisk,Elevator lobby basement 2,,,Digital Pods,3*7,55,1,,
24,Bangalore,Shivaji Nagar,Prestige Atrium,Reception Lobby,,,Digital Pods,3*7,55,1,,
,Bangalore,Shivaji Nagar,Prestige Atrium,Elevator Lobby Ground Floor,,,Digital Pods,3*7,55,1,,
25,Bangalore,Jaynagar,Prestige Sapphire,Reception Lobby,,,Digital Pods,3*7,55,1,,
26,Bangalore,Vasanth Nagar,Prestige Al Kareem,Reception Lobby,,,Digital Pods,3*7,55,1,,
